codistat,codprov_istat,segm3,km,casmez,year,index_stateint
35005,35,3,-313.3647690643836,0,2008,67.13754987716675
35005,35,3,-313.3647690643836,0,2013,33.5074447132647
35005,35,3,-313.3647690643836,0,2018,60.44577288627625
35006,35,3,-315.0708198396833,0,1994,34.07766498625278
35006,35,3,-315.0708198396833,0,1996,34.3003454208374
35006,35,3,-315.0708198396833,0,2001,38.9592373073101
35006,35,3,-315.0708198396833,0,2006,52.31370183825493
35006,35,3,-315.0708198396833,0,2008,69.5033278465271
35006,35,3,-315.0708198396833,0,2013,35.22210579738021
35006,35,3,-315.0708198396833,0,2018,59.2247044891119
35008,35,3,-300.1719623756032,0,1994,40.16466612368822
35008,35,3,-300.1719623756032,0,1996,39.74589830636978
35008,35,3,-300.1719623756032,0,2001,50.41756236553192
35008,35,3,-300.1719623756032,0,2006,65.56172475218773
35008,35,3,-300.1719623756032,0,2008,70.69798803329468
35008,35,3,-300.1719623756032,0,2013,33.36290400102735
35008,35,3,-300.1719623756032,0,2018,59.30028128623962
35009,35,3,-296.4880980885207,0,1994,35.97976818587631
35009,35,3,-296.4880980885207,0,1996,37.03845125436783
35009,35,3,-296.4880980885207,0,2001,49.46150037646294
35009,35,3,-296.4880980885207,0,2006,69.28180027008057
35009,35,3,-296.4880980885207,0,2008,71.33959722518921
35009,35,3,-296.4880980885207,0,2013,29.57259834557772
35009,35,3,-296.4880980885207,0,2018,62.65588581562042
35010,35,3,-305.4068478683255,0,1994,41.85316860675812
35010,35,3,-305.4068478683255,0,1996,43.72581052780151
35010,35,3,-305.4068478683255,0,2001,55.0802815258503
35010,35,3,-305.4068478683255,0,2006,74.13529102504253
35010,35,3,-305.4068478683255,0,2008,69.77791094779968
35010,35,3,-305.4068478683255,0,2013,32.68931229971349
35010,35,3,-305.4068478683255,0,2018,59.21593305468559
35012,35,3,-278.937304699608,0,1994,36.9357697814703
35012,35,3,-278.937304699608,0,1996,37.78728890419006
35012,35,3,-278.937304699608,0,2001,50.067561596632
35012,35,3,-278.937304699608,0,2006,67.1527174115181
35012,35,3,-278.937304699608,0,2008,68.89959478378296
35012,35,3,-278.937304699608,0,2013,37.42066845484078
35012,35,3,-278.937304699608,0,2018,58.69428254663944
35015,35,3,-305.515332925506,0,1994,37.52162344008684
35015,35,3,-305.515332925506,0,1996,37.89526814222336
35015,35,3,-305.515332925506,0,2001,50.36389869451523
35015,35,3,-305.515332925506,0,2006,67.41087572276592
35015,35,3,-305.515332925506,0,2008,70.1097719669342
35015,35,3,-305.515332925506,0,2013,29.47324979305267
35015,35,3,-305.515332925506,0,2018,61.27915968000889
35017,35,3,-299.6504930479514,0,1994,43.53124286979437
35017,35,3,-299.6504930479514,0,1996,43.56589257717133
35017,35,3,-299.6504930479514,0,2001,55.74939501285553
35017,35,3,-299.6504930479514,0,2006,73.022555321455
35017,35,3,-299.6504930479514,0,2008,67.31331348419189
35017,35,3,-299.6504930479514,0,2013,30.96032270975411
35017,35,3,-299.6504930479514,0,2018,59.94095352292061
35020,35,3,-289.9946958123143,0,1994,37.2289312556386
35020,35,3,-289.9946958123143,0,1996,37.56125068664551
35020,35,3,-289.9946958123143,0,2001,52.70892250537872
